mpps_id,condition,shortname,pca_name,data_color
SRR7702228,MSC,MSC1,MSC1,blue
SRR7702229,MSC,MSC1,MSC1,blue
SRR7702230,MSC,MSC1,MSC1,blue
SRR7702231,MSC,MSC2,MSC2,blue
SRR7702232,MSC,MSC2,MSC2,blue
SRR7702233,MSC,MSC2,MSC2,blue
SRR7702234,MSC,MSC3,MSC3,blue
SRR7702235,MSC,MSC3,MSC3,blue
SRR7702236,MSC,MSC3,MSC3,blue
SRR7702237,MSC,MSC4,MSC4,blue
SRR7702238,MSC,MSC4,MSC4,blue
SRR7702239,MSC,MSC4,MSC4,blue
SRR7702240,CAMSC,CAMSC1,CAMSC1,deeppink
SRR7702241,CAMSC,CAMSC1,CAMSC1,deeppink
SRR7702242,CAMSC,CAMSC1,CAMSC1,deeppink
SRR7702243,CAMSC,CAMSC2,CAMSC2,deeppink
SRR7702244,CAMSC,CAMSC2,CAMSC2,deeppink
SRR7702245,CAMSC,CAMSC2,CAMSC2,deeppink
SRR7702246,CAMSC,CAMSC3,CAMSC3,deeppink
SRR7702247,CAMSC,CAMSC3,CAMSC3,deeppink
SRR7702248,CAMSC,CAMSC3,CAMSC3,deeppink
SRR7702249,CAMSC,CAMSC4,CAMSC4,deeppink
SRR7702250,CAMSC,CAMSC4,CAMSC4,deeppink
SRR7702251,CAMSC,CAMSC4,CAMSC4,deeppink
SRR7702252,CAMSC,CAMSC5,CAMSC5,deeppink
SRR7702253,CAMSC,CAMSC5,CAMSC5,deeppink
SRR7702254,CAMSC,CAMSC5,CAMSC5,deeppink
SRR7702255,CAMSC,CAMSC6,CAMSC6,deeppink
SRR7702256,CAMSC,CAMSC6,CAMSC6,deeppink
SRR7702257,CAMSC,CAMSC6,CAMSC6,deeppink
SRR7702258,CAMSC,CAMSC7,CAMSC7,deeppink
SRR7702259,CAMSC,CAMSC7,CAMSC7,deeppink
SRR7702260,CAMSC,CAMSC7,CAMSC7,deeppink
SRR7702261,CAMSC,CAMSC8,CAMSC8,deeppink
SRR7702262,CAMSC,CAMSC8,CAMSC8,deeppink
SRR7702263,CAMSC,CAMSC8,CAMSC8,deeppink
SRR7702264,CAMSC,CAMSC9,CAMSC9,deeppink
SRR7702265,CAMSC,CAMSC10,CAMSC10,deeppink
